City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Ixtapa,MX,20.7,-105.2,70.56,93,23,1.54,few clouds
284,Pokhara,NP,28.2333,83.9833,64.22,43,0,3.42,clear sky
285,Maraba,BR,-5.3686,-49.1178,72.59,94,100,3.0,overcast clouds
286,Boa Esperanca Do Sul,BR,-21.9925,-48.3908,61.95,67,88,11.83,overcast clouds
287,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,14.97,broken clouds
288,Skjervoy,NO,70.0311,20.9714,37.4,89,100,5.37,overcast clouds
289,Kamenka,RU,51.3223,42.7678,33.69,86,100,5.88,overcast clouds
290,Padang,ID,-0.9492,100.3543,82.45,72,100,0.63,overcast clouds
291,Kashi,CN,39.4547,75.9797,44.83,41,92,2.1,overcast clouds
292,Crotone,IT,39.0851,17.1178,56.19,69,69,7.96,broken clouds
293,Kavaratti,IN,10.5669,72.642,81.28,77,60,7.99,broken clouds
294,Nuuk,GL,64.1835,-51.7216,27.21,93,75,6.91,broken clouds
295,Caravelas,BR,-17.7125,-39.2481,72.21,70,1,10.98,clear sky
296,Uyuni,BO,-20.4597,-66.825,45.63,34,0,8.75,clear sky
297,Kavarna,BG,43.4333,28.3333,58.35,91,100,8.99,overcast clouds
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.93,82,6,9.26,clear sky
299,Broken Hill,AU,-31.95,141.4333,78.08,22,48,4.65,scattered clouds
300,Rio Grande,BR,-32.035,-52.0986,61.47,82,0,12.44,clear sky
301,Maymyo,MM,22.0333,96.4667,66.65,78,0,2.44,clear sky
302,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,68.29,38,0,3.78,clear sky
303,Ambilobe,MG,-13.2,49.05,67.66,86,6,4.05,clear sky
304,Wattegama,LK,6.7989,81.4808,76.3,85,100,3.56,overcast clouds
305,Byron Bay,AU,-28.65,153.6167,71.94,55,6,8.79,clear sky
306,Ushtobe,KZ,45.2514,77.9838,46.65,88,100,6.22,overcast clouds
307,Piney Green,US,34.716,-77.3202,71.94,99,26,7.83,scattered clouds
308,Pangnirtung,CA,66.1451,-65.7125,7.84,90,65,8.28,broken clouds
309,Andros Town,BS,24.7,-77.7667,80.4,67,1,15.7,clear sky
310,Annemasse,FR,46.1944,6.2378,43.65,95,55,2.3,broken clouds
